ingredient_id,budget_year,baseline_unit_cost,planning_increase_cost,budget_unit_cost,unit_basis
I001,2018,0.45247237,0.03,0.466046541,$/100g
I002,2018,0.152579332,0.03,0.157156712,$/100g
I003,2018,0.4347788,0.03,0.447822164,$/100g
I004,2018,0.42524698,0.03,0.438004389,$/100g
I005,2018,0.312436258,0.03,0.321809346,$/100g
I006,2018,0.282533932,0.03,0.29100995,$/100g
I007,2018,0.209865646,0.03,0.216161616,$/100g
I008,2018,0.114531439,0.03,0.117967382,$/100g
I009,2018,1.099747363,0.03,1.132739784,$/100g
I010,2018,0.79205313,0.03,0.815814724,$/100g
I011,2018,0.491325355,0.03,0.506065115,$/100g
I012,2018,0.490533072,0.03,0.505249064,$/100g
I013,2018,0.501179418,0.03,0.5162148,$/100g
I014,2018,0.429392979,0.03,0.442274769,$/100g
I015,2018,1.486164799,0.03,1.530749743,$/100g
